Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Solomon Islands,0.0002780484892473757,1.9689735446035473e-06,2.97699072119424e-05,2.784207178119801e-06,3.3117751926723924e-05,9.18249546324317e-08,3.473762909975602e-06,8.914390107764791e-07,1.4809386743897906e-06,1.3935949685074547e-06,3.0738171452299314e-08,2.7822773875308214e-09,4.10920592292122e-06,1.4489804459732488e-14,1.4954195675897633e-06,2.245662244316533e-06,5.013912501242775e-09,1.7359471379394057e-06,2.559366198815174e-06,1.7374493330384996e-05,1.5809440154811391e-06,6.621627945291197e-06,1.6857016311528195e-06,2.9339234355885756e-06,1.0657886588178975e-06,1.7093008042307672e-05,2.1053224212866118e-05,1.7775354821618083e-05,1.1210281696083394e-05
Somalia,0.00015592888902415632,0.00019042836184635957,6.917027096266427e-06,1.5870709875866316e-05,7.48967611686549e-05,0.0012129282906285016,2.5674289673671638e-05,7.865926897533358e-05,0.00014797339018809733,0.0008362672958214492,0.0007003977357371969,0.0006123075080182316,0.0001463479644499354,0.0024940221776132746,0.005726306020938592,0.011839490540463663,0.009307538862311894,0.03218508583394651,0.0009141791595635924,0.0012559071198164709,0.00761706034034582,0.015096596459510446,0.00024075646635897326,0.009627278973259918,0.0013456135962414966,0.00952400465408017,0.002076364203131307,0.025024068599937044,0.007045861198424482
South Africa,6.292540021752515e-05,0.00012327040245590685,0.007667046874129226,0.0002577902457331889,0.0006509399376838961,0.08255987028296566,0.0031575379805727,0.006370151009827616,0.0026344178556590727,0.004176791495195172,0.022245587171253665,0.014409650468688594,0.0029271687487552704,0.0014512659027584984,0.04255077153884686,0.013405361122876141,0.02707260149751628,0.0009396805051098982,0.00467618975410992,0.03547538294555594,0.012794024893870475,0.003916531740218999,0.0004223870583809429,0.006080127735514622,0.0028906960194467913,0.005808918660867272,4.702200045706143e-05,0.0006405314160577616,0.0035924195688380495
South Asia,0.03889810527484035,0.015761906238625962,0.30144786353223185,0.022033904941724608,0.024629680017507413,0.00511887895068519,0.00019872211077870663,0.0005147715430450855,0.018692746580756335,0.011071551224461728,0.002007753250030632,0.040683806046511894,0.004286544888803441,0.03839652340019253,0.022075574789909427,0.00012782431077440357,0.002191289710354442,0.02229562691631712,0.008444224644884047,0.0003561877464931592,0.0001503696064765364,0.0030551732998952996,0.00044950360063958415,5.873427620212196e-05,0.0016012984074348345,0.002037712370164748,8.860384203790693e-06,9.487506583399055e-05,0.012073207449270163
South Korea,0.0002098501002758737,9.273727833143089e-06,3.280890921031004e-05,1.9050345905332418e-06,1.9770565221558094e-05,4.573022106755494e-08,0.00018830610930401106,1.572423051098519e-05,0.00012453793915055523,0.001196384638562057,1.1754541331223371e-06,2.3841194986004947e-05,3.5395191965062724e-05,0.00022704002207581806,2.819305989917757e-05,0.0013429041607221832,0.00020804739631477014,0.0026317408294953934,9.725090675717858e-05,0.007730560931838564,0.0017231609071021632,9.460429761100851e-05,0.0014871907016700205,0.0010316762896362332,0.0008172460010879885,0.0004958875972546533,0.013932547569895374,0.020284324106798632,0.004936377783383491
South Sudan,0.0001840855583843454,0.0001267673563383538,5.422118089684041e-06,1.8514833465966707e-05,4.4332752351095305e-05,0.00042906787744320093,2.220244844501052e-06,0.00018592494639587794,0.000259679758513506,0.0003136158059289217,0.00017571716027397233,0.001614456638300284,0.0019282749215022688,0.00010691693530915851,0.0023125247860986938,6.682973702640754e-06,0.0007635334971616229,9.209781345654243e-06,0.001714368165274403,0.005155249653004065,0.0016994292739004534,0.03141635391179436,0.00017200726771820024,0.0010839379774057324,0.002439722252228446,0.022725644344649177,0.0005117244626187977,0.006412020186490486,0.00011476859596591797
Southeast Asia,0.0017052009574833,0.001092113944212318,0.0002826162230970677,1.1524582447667017e-05,0.00022283378684974167,0.008179683069370993,0.0006506705352187782,0.0952522815468897,0.09066456005049024,0.008015693740026985,0.07234048584987422,0.0006094794309830936,0.05600895027906906,0.0011293151223949597,0.010489932908017153,0.008134006274918506,0.005081177456647334,0.02753815508700123,0.06062549449408986,0.0017824546617288837,0.01804618787154646,0.006440479504902634,1.1335318416752511e-05,0.0009713850059274128,0.00010859266941846975,0.0046938292214320915,1.850678820483658e-05,1.2463835828708853e-05,0.004494592950287501
"Southeast Asia, East Asia, and Oceania",0.03195787222665069,0.08846787017889654,0.024674369492906315,0.27480389994625054,0.006291187018371187,0.0087196682164069,0.003971190529005825,0.021367035762519516,0.03348364171915467,6.557619349906737e-05,0.017696574045196988,0.0012004347998122358,0.00743894674883753,0.006615074182761695,0.009762266994839178,0.0006461948934327735,0.0026089244373382735,0.001192994306283961,0.032365369370627325,0.0004873452160843074,0.0015733390253495762,0.0017130897357304489,0.005402765251696471,0.0002775515902488574,0.001776305128502823,0.008880347739688347,0.0009034069732298068,0.0015271332808300337,0.14783291215953628
Southern Latin America,0.0001515353981256412,3.2656291283355726e-05,4.1468043134018135e-06,0.00013637305508846077,1.8184388127381204e-05,5.277707675987458e-05,3.332411561449789e-05,0.00020042251818117097,1.2888926864034464e-05,5.69406991149437e-07,0.0004769049911995003,0.0008987178836347032,0.00012331494808212596,0.0011704389622649407,0.00029139667711334334,0.0014044037248502714,0.0020684479899780975,0.0025272246447917758,0.0033257301845983685,0.0004978278041690273,0.008432591038561721,0.0028362410267036326,0.0143770029363508,0.04321145409918115,0.004789825370031871,0.0104871184180634,0.008463405835258,0.0025130960358634527,0.0036735289309789893
Southern Sub-Saharan Africa,1.7489663893332817e-05,0.0002961578464531195,0.011691817052611886,0.0003011026939288093,0.000850757752998978,0.11972162097078554,0.004454114896010397,0.007709350735596652,0.002644759904483917,0.007171829903234277,0.03054335198018304,0.023039525709208957,0.0029379330095582372,0.00019533896818925441,0.05947926375420919,0.017969717185395816,0.04607049480053894,0.0025741690088519364,0.005365774436631441,0.030931513110461897,0.005568568017490232,0.00496253239372737,4.3049831839592854e-05,0.00045069186492843364,0.00662103593613644,0.007207816979905175,0.0006057315931451499,3.910263520478451e-05,0.005175556304876531
Spain,0.00018295934199478759,2.3302019047806895e-05,3.705933150976298e-05,9.835693301176703e-05,2.815231048130856e-06,3.392715843932165e-05,2.0365540605583962e-05,0.0001177781592561946,1.0456754383044074e-05,0.0018127804506038792,0.0005758025700752583,5.645544580522203e-05,0.001996745222898399,0.0027913741977840267,0.0007095891825826796,5.250084706411642e-06,0.0012419001224600905,0.0035816230897333023,0.00794184639871398,0.007661645218057534,0.0003977659571181909,0.001006454069204789,0.0010432416430285936,0.006295716796398402,0.004808592703237984,0.0011271745777188449,0.013606731497635636,8.70504687780948e-06,0.005884038365620771
Sri Lanka,0.00023225897670373056,8.438700499413714e-07,5.734827410287453e-05,3.2942156596260766e-09,3.636828789610326e-05,2.1143668201438897e-05,1.0607049156655811e-06,0.00016546528193445793,0.00010481486082324023,8.396903161360417e-05,0.00016542961254786893,5.3855922534301465e-06,0.00021212701416435586,5.2899520734459115e-06,0.00013258955002548006,6.4630393660027305e-06,0.0005362470143727923,7.176841299055993e-05,0.0009349863263468184,0.00024756267476401886,1.684617760979271e-05,0.0002742700386688788,7.860962357026006e-06,0.0019919101041097945,0.0008202304542106477,5.610052213931067e-07,0.02859572260961958,3.609133025828328e-05,0.000236859376171396
